date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:20	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Oct%202021%2016:12:45%20GMT	http://daotao.hutech.edu.vn/robots.txt		(from )
09:07:20	151451/151451	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:12:46%20GMT	http://daotao.hutech.edu.vn/	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/index.html	(from )
09:07:21	8919/8919	---M-Z	200	added ('OK')	application/javascript	etag:%220332aac19d1d21:0%22	http://daotao.hutech.edu.vn/JS/dialog.js	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/JS/dialog.js	(from http://daotao.hutech.edu.vn/)
09:07:22	5256/5256	---M-Z	200	added ('OK')	application/javascript	etag:%220332aac19d1d21:0%22	http://daotao.hutech.edu.vn/JS/checkdate.js	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/JS/checkdate.js	(from http://daotao.hutech.edu.vn/)
09:07:23	5152/5152	---M-Z	200	added ('OK')	application/javascript	etag:%220332aac19d1d21:0%22	http://daotao.hutech.edu.vn/JS/balloontip.js	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/JS/balloontip.js	(from http://daotao.hutech.edu.vn/)
09:07:23	552/552	---M--	200	added ('OK')	text/css	etag:%220332aac19d1d21:0%22	http://daotao.hutech.edu.vn/JS/balloontip.css	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/JS/balloontip.css	(from http://daotao.hutech.edu.vn/)
09:07:23	2431/2431	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Oct%202021%2018:34:42%20GMT	http://daotao.hutech.edu.vn/WebResource.axd?d=-N0r1nT_jXoAwZbO_0U9HCDKZ-08m8qGRdgnoVxBxdOErEJBEZuciSe94tifYeQlIas_QxAFjy5SyN_YPgo62xD8T4k-ArA29-9vAc1nnBNg9Gd_tcbAETnv1j2QCvtYxvYMLsRU2LOeez39v_HKt4-yOQ_UOsaqmNhPm5xbl44kC7by0&t=637698944820000000	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/WebResource6e49.css	(from http://daotao.hutech.edu.vn/)
09:07:24	22349/22349	---M-Z	200	added ('OK')	text/css	etag:%220f8d1a319d1d21:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Standard.css	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Standard.css	(from http://daotao.hutech.edu.vn/)
09:07:24	27831/27831	---M--	200	added ('OK')	image/gif	etag:%2201e39ba5cb1d41:0%22	http://daotao.hutech.edu.vn/Images/Edusoft.gif	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Images/Edusoft.gif	(from http://daotao.hutech.edu.vn/)
09:07:24	681/681	---M--	200	added ('OK')	text/css	etag:%220e7f9b35165d01:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/StyleSheet.css	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/StyleSheet.css	(from http://daotao.hutech.edu.vn/)
